RteUid,RsgUid,txtDesig,txtLocDesig,DpnUidSta,NdbUidSta,VorUidSta,DpnUidEnd,NdbUidEnd,VorUidEnd,codeIdSta,geoLatSta,geoLongSta,codeIdEnd,geoLatEnd,geoLongEnd,valMagTrack,newvalMagTrack,valReversMagTrack,newvalReverseMagTrack,valLen,newValLen
332147,393387,A410,FC-FE,327205,,,,,324200,SABSA,3.1241666666666665,18.050555555555555,MPK,4.3782499999999995,18.524833333333333,20.0,19.0,200.0,199.0,80,80
332149,393642,A600,DR-GQ,326035,,,325600,,,ERENA,19.97222222222222,-16.66777777777778,BOTLO,19.349722222222223,-16.42777777777778,166.0,165.0,346.0,345.0,40,40
332149,422861,A600,DR-GQ,325600,,,406543,,,BOTLO,19.349722222222223,-16.42777777777778,KETAS,18.091583333333332,-15.948277777777777,166.0,165.0,346.0,345.0,80,80
332149,393657,A600,DR-GQ,,,324173,325396,,,KAY,14.479083333333334,-11.42175,ENDEM,13.763333333333334,-10.171666666666667,125.0,124.0,305.0,304.0,84,85
332149,393667,A600,DR-GQ,327001,,,326956,,,PITMA,12.818888888888889,-5.388055555555556,ONUSI,12.930555555555555,-4.275,87.0,86.0,267.0,266.0,66,66
332149,393669,A600,DR-GQ,326956,,,325477,,,ONUSI,12.930555555555555,-4.275,GAMUD,13.214722222222221,-1.1858333333333333,87.0,86.0,267.0,266.0,182,182
332149,393671,A600,DR-GQ,325477,,,326080,,,GAMUD,13.214722222222221,-1.1858333333333333,UBOXA,13.254329055555555,-0.7211779444444445,87.0,86.0,267.0,266.0,27,27
332149,393674,A600,DR-GQ,326080,,,325933,,,UBOXA,13.254329055555555,-0.7211779444444445,EDKAP,13.38088888888889,0.8422588888888889,87.0,86.0,267.0,266.0,92,92
332149,393676,A600,DR-GQ,325933,,,,,324221,EDKAP,13.38088888888889,0.8422588888888889,NY,13.481120666666667,2.20687375,87.0,86.0,267.0,266.0,80,80
332151,496461,A601,GO-GA,496457,,,326896,,,ANITI,14.744833333333332,-17.474777777777778,NURAS,14.222222222222223,-15.484166666666665,112.0,111.0,292.0,291.0,120,120
332151,332593,A601,GO-GA,,,324257,327277,,,TD,13.727694444444445,-13.663972222222222,SETID,13.331944444444444,-11.666666666666666,107.0,106.0,287.0,286.0,119,119
332151,332595,A601,GO-GA,327277,,,325984,,,SETID,13.331944444444444,-11.666666666666666,ENINO,13.07861111111111,-10.431111111111111,107.0,106.0,287.0,286.0,74,74
332153,332607,A602,GO-GG,322254,,,327403,,,MOGSA,14.688333333333334,-20.211388888888887,TURED,13.0,-18.0,136.0,135.0,316.0,315.0,164,164
332153,332611,A602,GO-GG,326695,,,,,324125,LUSTI,12.318055555555555,-16.483333333333334,BIS,11.920637249999999,-15.644843,123.0,122.0,303.0,302.0,55,55
332155,332615,A604,DA-FC,326029,,,,,324119,EREBO,20.116666666666667,6.6,AS,16.97496361111111,8.02323138888889,156.0,155.0,336.0,335.0,205,205
332155,400937,A604,DA-FC,322239,,,322359,,,MIMBA,13.083222222222222,8.3925,OBUDU,6.17,9.25,174.0,173.0,354.0,353.0,63,416
332155,332625,A604,DA-FC,322359,,,,,324194,OBUDU,6.17,9.25,MF,5.705694444444444,9.303944444444445,175.0,173.0,355.0,353.0,28,28
332155,332637,A604,DA-FC,326767,,,326635,,,MISTI,0.728175,11.885419444444445,LITAT,-0.8138888888888889,12.894444444444444,148.0,147.0,328.0,327.0,110,110
332155,332639,A604,DA-FC,326635,,,,,324155,LITAT,-0.8138888888888889,12.894444444444444,FRV,-1.6530833333333332,13.443916666666667,148.0,147.0,328.0,327.0,60,60
332155,332641,A604,DA-FC,,,324155,325807,,,FRV,-1.6530833333333332,13.443916666666667,KIKSA,-2.234551666666667,13.851237777777778,146.0,145.0,326.0,325.0,42,42
332155,393771,A604,DA-FC,325807,,,393768,,,KIKSA,-2.234551666666667,13.851237777777778,POTAN,-3.1930555555555555,14.523611111111112,146.0,145.0,326.0,325.0,70,70
332159,402716,L433,DX-FZ,322506,,,321873,,,POLTO,6.4917,2.75,IKROP,5.778888888888889,8.874305555555557,71.0,97.0,251.0,277.0,37,368
332159,332675,L433,DX-FZ,,,324194,325546,,,MF,5.705694444444444,9.303944444444445,SEXAT,5.643055555555555,10.7525,93.0,92.0,273.0,272.0,87,87
332159,332679,L433,DX-FZ,326479,,,326800,,,KEMOX,5.431388888888889,12.095833333333333,MOTET,5.146111111111112,13.874444444444444,99.0,98.0,279.0,278.0,108,108
332159,332681,L433,DX-FZ,326800,,,326692,,,MOTET,5.146111111111112,13.874444444444444,LURTI,4.843333333333333,15.726944444444445,99.0,98.0,279.0,278.0,112,112
332161,332703,A611,FZ-FE,,320889,,,,324200,LIB,3.6333333333333333,18.633333333333333,MPK,4.3782499999999995,18.524833333333333,354.0,350.0,175.0,170.0,45,45
332163,332705,A612,GU-GA,322305,,,,,324128,NEGLO,11.927777777777777,-9.138333333333334,BKO,12.546611111111112,-7.929694444444444,67.0,66.0,247.0,246.0,80,80
332163,332707,A612,GU-GA,,,324128,325987,,,BKO,12.546611111111112,-7.929694444444444,ENOLU,13.17361111111111,-6.724722222222223,66.0,65.0,246.0,245.0,80,80
332163,332715,A612,GU-GA,,,324206,326584,,,MTI,14.526055555555557,-4.064722222222222,BIGAD,14.934722222222222,-3.1222222222222222,68.0,67.0,248.0,247.0,60,60
332163,332717,A612,GU-GA,326584,,,326989,,,BIGAD,14.934722222222222,-3.1222222222222222,PILTI,15.285,-2.303888888888889,69.0,67.0,249.0,247.0,52,52
332163,332719,A612,GU-GA,326989,,,326071,,,PILTI,15.285,-2.303888888888889,ETRUL,15.842500000000001,-0.9811111111111112,68.0,67.0,248.0,247.0,84,84
